id_mutation;date_mutation;numero_disposition;nature_mutation;valeur_fonciere;adresse_numero;adresse_suffixe;adresse_nom_voie;adresse_code_voie;code_postal;code_commune;nom_commune;code_departement;ancien_code_commune;ancien_nom_commune;id_parcelle;ancien_id_parcelle;numero_volume;lot1_numero;lot1_surface_carrez;lot2_numero;lot2_surface_carrez;lot3_numero;lot3_surface_carrez;lot4_numero;lot4_surface_carrez;lot5_numero;lot5_surface_carrez;nombre_lots;code_type_local;type_local;surface_reelle_bati;nombre_pieces_principales;code_nature_culture;nature_culture;code_nature_culture_speciale;nature_culture_speciale;surface_terrain;longitude;latitude
2024-1013200;15/05/2024;1;Vente;188000;476;;AV ARISTIDE BRIAND;405;83200;83137;Toulon;83;;;83137000CW0375;;;484;;;;;;;;;;1;3;Dépendance;;0;;;;;;5.900786;43.127748
2024-1013204;15/05/2024;1;Vente;57000;21;;AV MARECHAL BUGEAUD;4805;83200;83137;Toulon;83;;;83137000CY0370;;;10;29.46;;;;;;;;;1;3;Dépendance;;0;;;;;;5.916258;43.127806
2024-1013204;15/05/2024;1;Vente;57000;21;;AV MARECHAL BUGEAUD;4805;83200;83137;Toulon;83;;;83137000CY0370;;;10;29.46;;;;;;;;;1;3;Dépendance;;0;;;;;;5.916258;43.127806
2024-1013204;15/05/2024;1;Vente;57000;21;;AV MARECHAL BUGEAUD;4805;83200;83137;Toulon;83;;;83137000CY0370;;;10;29.46;;;;;;;;;1;2;Appartement;29;2;;;;;;5.916258;43.127806
2024-1013206;14/05/2024;1;Vente;32000;374;;AV JACQUES CARTIER;3755;83000;83137;Toulon;83;;;83137000BV0059;;;6;;;;;;;;;;1;3;Dépendance;;0;;;;;;5.942459;43.110662
2024-1013209;14/05/2024;1;Vente;85000;5001;;RUE DEJUSSIEU PONTCARRAL;2121;83200;83137;Toulon;83;;;83137000DM0170;;;275;;392;;;;;;;;2;2;Appartement;88;5;;;;;;5.896866;43.127138
2024-1013209;14/05/2024;1;Vente;85000;5001;;RUE DEJUSSIEU PONTCARRAL;2121;83200;83137;Toulon;83;;;83137000DM0170;;;275;;392;;;;;;;;2;3;Dépendance;;0;;;;;;5.896866;43.127138
2024-1013214;16/05/2024;1;Vente;250000;330;;RUE JEAN PHILIPPE RAMEAU;3943;83000;83137;Toulon;83;;;83137000BZ0198;;;117;104.83;;;;;;;;;1;2;Appartement;92;5;;;;;;5.942627;43.116786
2024-1013214;16/05/2024;1;Vente;250000;330;;RUE JEAN PHILIPPE RAMEAU;3943;83000;83137;Toulon;83;;;83137000BZ0198;;;117;104.83;;;;;;;;;1;3;Dépendance;;0;;;;;;5.942627;43.116786
2024-1013214;16/05/2024;1;Vente;250000;330;;RUE JEAN PHILIPPE RAMEAU;3943;83000;83137;Toulon;83;;;83137000BZ0198;;;117;104.83;;;;;;;;;1;3;Dépendance;;0;;;;;;5.942627;43.116786
2024-1013230;16/05/2024;1;Vente;139350;121;A;AV ANTOINE SENEQUIER;6715;83000;83137;Toulon;83;;;83137000CD0040;;;11;66.32;;;;;;;;;1;3;Dépendance;;0;;;;;;5.94506;43.1213
2024-1013230;16/05/2024;1;Vente;139350;121;A;AV ANTOINE SENEQUIER;6715;83000;83137;Toulon;83;;;83137000CD0040;;;11;66.32;;;;;;;;;1;2;Appartement;67;4;;;;;;5.94506;43.1213
